ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Ω30Μ,Κακοήθεια ΩΡΛ και στόματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις,2288.00,9,108.72,Ω
Ω30Χ,Κακοήθεια ΩΡΛ και στόματος με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις,545.00,2,127.60,Ω
Ω31Α,Ίλλιγγος,444.00,2,251.64,Ω
Ω32Α,Ρινορραγία,358.00,2,86.84,Ω
Ω33Α,Μέση ωτίτιδα και λοιμώξεις του ανώτερου αναπνευστικού,397.00,2,61.55,Ω
Ω34Α,Λαρυγγοτραχειίτιδα και επιγλωττίτις,288.00,1,295.98,Ω
Ω35Α,Ρινικό τραύμα και δυσμορφία,265.00,1,202.82,Ω
Ω36Μ,Άλλες διαγνώσεις του ΩΡΛ και στόματος με συνυπάρχουσες παθήσεις-επιπλοκές,957.00,4,242.12,Ω
Ω36Χ,Άλλες διαγνώσεις του ΩΡΛ και στόματος χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,243.00,1,163.85,Ω
Ω37Α,"Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις, την ίδια ημέρα",254.00,1,271.53,Ω
Ω37Β,Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις,661.00,3,193.92,Ω
Α01Μ,Μείζονες επεμβάσεις θώρακος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,4701.00,15,229.59,Α
Α01Χ,Μείζονες επεμβάσεις θώρακος χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,2712.00,7,145.99,Α
Α02Μα,Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,3922.00,16,149.91,Α
Α02Μβ,Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1595.00,5,86.89,Α
Α02Χ,Λοιπές επεμβάσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,683.00,1,221.91,Α
Α10Μ,Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6036.00,12,273.16,Α
Α10Χ,Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4627.00,8,265.11,Α
Α11Χ,Νοσήματα αναπνευστικού συστήματος χωρίς επεμβατικό μηχανικό αερισμό,3635.00,12,271.37,Α
Α12Α,"Βρογχοσκόπηση, την ίδια ημέρα",1910.00,1,244.61,Α
Α12Μ,Βρογχοσκόπηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3984.00,17,104.71,Α
Α12Χ,Βρογχοσκόπηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1798.00,7,251.03,Α
Α20Μ,Κυστική ίνωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3696.00,13,223.98,Α
Α20Χ,Κυστική ίνωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2638.00,10,166.14,Α
Α21Μ,Πνευμονική εμβολή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2187.00,11,189.35,Α
Α21Χ,Πνευμονική εμβολή χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1035.00,6,279.37,Α
Α22Μα,Αναπνευστικές λοιμώξεις / φλεγμονές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1938.00,10,80.34,Α
Α22Μβ,Αναπνευστικές λοιμώξεις/ φλεγμονές με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1144.00,6,83.33,Α
Α22Χ,Αναπνευστικές λοιμώξεις/ φλεγμονές χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,630.00,3,166.16,Α
Α23Α,Σύνδρομο άπνοιας ύπνου,319.00,1,182.78,Α
Α24Μ,Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1821.00,8,189.73,Α
Α24Χ,Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,949.00,4,129.32,Α
Α25Μ,Χρόνια αποφρακτική πνευμονοπάθεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1766.00,9,238.81,Α
Α25Χ,Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,949.00,5,160.64,Α
Α26Μα,Μείζον τραύμα Θώρακος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2467.00,12,253.75,Α
Α26Μβ,Μείζον τραύμα Θώρακος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1175.00,5,273.01,Α
Α26Χ,Μείζον τραύμα Θώρακος με συνυπάρχουσες παθήσεις - επιπλοκές,607.00,3,156.69,Α
Α27Μ,Αναπνευστικά σημεία και συμπτώματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,864.00,4,276.71,Α
