drug_id,ema_code,name,manufacturer
1771,EMA-001771,Flucloxacillin Cooper,Cooper Pharmaceuticals S.A.
1772,EMA-001772,Flucloxacillin Cooper,Cooper Pharmaceuticals S.A.
1773,EMA-001773,Flucocaps Therapy,Cross Pharmaceuticals P.C.
1774,EMA-001774,Flucodrug,Kleva Pharmaceuticals
1775,EMA-001775,Flucodrug,Kleva Pharmaceuticals
1776,EMA-001776,Flucofin,"Lyofin Ltd, Greece"
1777,EMA-001777,Flucon,Immedica Pharma Ab
1778,EMA-001778,Fluconazole B. Braun,B.Braun Melsungen Ag
1779,EMA-001779,Fluconazole Kabi,Fresenius Kabi Hellas Single Member S.A.
1780,EMA-001780,Fluconazole Noridem,Noridem Enterprises Ltd
1781,EMA-001781,Fluconazole Syndesmos,Syndesmos S.A. - Pharmaceutical Wholesalers
1782,EMA-001782,Fluconazole/Medicus,Medicus A.E
1783,EMA-001783,Flucoran,Vocate Φαρμακευτικη Αε
1784,EMA-001784,Flucortis,Verisfield S.M.S.A
1785,EMA-001785,Flucostatin,Medhel S.A.
1786,EMA-001786,Flucostatin,Medical Pharmaquality Pharmaceuticals S.A.
1787,EMA-001787,Flucovein,Cooper Pharmaceuticals S.A.
1788,EMA-001788,Fludara,Sanofi B.V.
1789,EMA-001789,Fludara,Sanofi B.V.
1790,EMA-001790,Fludeoxyglucose (18f) Ge Healthcare,Ge Healthcare B.V.
1791,EMA-001791,Fludeoxyglucose (18f) Monrol,Curium Romania Srl
1792,EMA-001792,Fludeoxyglucose (18f) Syn,Syn Innovation Laboratories Sa
1793,EMA-001793,Fludex,Servier Hellas Pharmaceuticals Ltd
1794,EMA-001794,Fluibrox,Farmellas Enterprises Ltd
1795,EMA-001795,Fluibrox,Farmellas Enterprises Ltd
1796,EMA-001796,Fluimucil,Zambon S.P.A.
1797,EMA-001797,Flumazenil Cooper,Cooper Pharmaceuticals S.A.
1798,EMA-001798,Flumazenil Kabi,Fresenius Kabi Hellas Single Member S.A.
1799,EMA-001799,Flumisyn,Syndesmos S.A. - Pharmaceutical Wholesalers
1800,EMA-001800,Fluniprol,Novendia Pharmaceuticals Ltd
1801,EMA-001801,Flunol,Pharma Q S.A.
1802,EMA-001802,Flunovon,Novopharm Pharmaceuticals Ltd
1803,EMA-001803,Fluorouracil Anabiosis,Anabiosis S.A.
1804,EMA-001804,Fluorouracil Opus,Opus-Materia Ltd
1805,EMA-001805,Fluroptic,Cooper Pharmaceuticals S.A.
1806,EMA-001806,Flusal,Mediapharm Ltd
1807,EMA-001807,Flusalair,Win Medica Sa
1808,EMA-001808,Fluscin,Bausch Health Hellas Single-Member Pharmaceutical Societe Anonyme
1809,EMA-001809,Fluseminal,Anfarm Hellas Sa
1810,EMA-001810,Flusenil,Anfarm Hellas Sa
1811,EMA-001811,Flusonide,Genetic Spa
1812,EMA-001812,Flusterix®,Iasis Pharma
1813,EMA-001813,Flutarzole,Target Pharma Single Member Private Ltd
1814,EMA-001814,Fluticapen,Elpen Pharmaceutical Co. Inc.
1815,EMA-001815,Flutinasal,Pharma Q S.A.
1816,EMA-001816,Flutiresp®,Win Medica Sa
1817,EMA-001817,Flutista,Viatris Limited
1818,EMA-001818,Fluvastatin Xl Pharmathen International,Pharmathen International S.A.
1819,EMA-001819,Fluxol-M.T.F.,Farmellas Enterprises Ltd
1820,EMA-001820,Fluzomic,Pharma Therapis Single Member Pc
1821,EMA-001821,Fml,Abbvie Pharmaceuticals S.A.
1822,EMA-001822,Fodier,Verisfield S.M.S.A
1823,EMA-001823,Fokeston,Rafarm Sa.
1824,EMA-001824,Folical,Novendia Pharmaceuticals Ltd
1825,EMA-001825,Folidex,Itf Hellas S.A.
1826,EMA-001826,Folidex B12,Itf Hellas S.A.
1827,EMA-001827,Foliment,Bennett Pharmaceuticals Sa
1828,EMA-001828,Folioral,Vianex S.A.
1829,EMA-001829,Folivoran,Vocate Φαρμακευτικη Αε
1830,EMA-001830,Folivoran,Vocate Φαρμακευτικη Αε
1831,EMA-001831,Fomicyt,"Infectopharm Arzneimittel Und Consilium Gmbh, De, Heppenheim"
1832,EMA-001832,Forair,Chiesi Hellas S.A.
1833,EMA-001833,Forcet,Target Pharma Single Member Private Ltd
1834,EMA-001834,Forcet,Target Pharma Single Member Private Ltd
1835,EMA-001835,Fordiab,Stada Arzneimittel Ag
1836,EMA-001836,Forlion,Mediapharm Ltd
1837,EMA-001837,Formopen,Elpen Pharmaceutical Co. Inc.
1838,EMA-001838,Formotil,Genepharm S.A.
1839,EMA-001839,Fornega,Innovis Pharma
1840,EMA-001840,Forproct,Verisfield S.M.S.A
1841,EMA-001841,Forproct,Verisfield S.M.S.A
